,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
7709,VST,955,737,29,DJZSHOHO,D3BIHZ43SS,SHYH0WG,4/12/2019 07:40:00 PM,4/12/2019,19,0,68.0,24.0,0,0,1
7710,VST,955,737,29,21EMW8P1,GXT2G1NFH1,S8GB4RR,11/27/2018 09:53:00 PM,11/27/2018,19,0,68.0,24.0,0,0,1
7711,VST,955,737,30,4PA2RMUK,KU6WBRIHOQ,SBRNRQY,5/30/2017 02:36:00 AM,8/16/2018,17,0,231.0,22.0,1228,21671,1
7712,VST,955,737,31,HE7XZ9GN,4XGCDKJUYN,SB5EWOC,12/10/2016 12:13:28 PM,12/26/2016,17,0,68.0,22.0,0,0,1
7713,VST,955,737,31,NDHIN24J,OYDJ5GDV5Y,SRCR9RR,1/3/2016 09:52:48 AM,3/21/2016,16,0,55.0,7.0,295,295,1
7714,VST,955,737,31,9N9JWJ1W,E8X45EL3BK,S5R753P,2/5/2017 09:58:20 AM,1/31/2017,17,0,68.0,7.0,0,0,1
7715,VST,955,737,31,B55RLT5E,HDSEMHZRSJ,SR9BI0H,8/3/2016 04:56:20 PM,8/4/2016,16,0,2.0,7.0,2,839,0
7716,VST,955,737,32,R6NNC6NM,QPG36GXONL,SDD4PVK,10/12/2017 01:23:00 PM,10/12/2017,17,0,68.0,7.0,0,0,1
7717,VST,955,737,32,P9AUV2I2,V04OIRQBY5,S4ZI1HB,8/23/2016 12:25:01 PM,8/21/2016,16,0,68.0,7.0,0,0,1
7718,VST,955,737,32,W951X4LE,L0IIGVX30U,S1AY0A5,11/26/2017 12:22:00 AM,11/26/2017,18,0,68.0,7.0,0,0,1
7719,VST,955,737,32,SV11LCSD,7QAYW29AH7,SF1GUNP,10/11/2017 02:23:00 PM,10/11/2017,17,0,68.0,7.0,0,0,1
7720,VST,955,737,32,HX89K45O,KZMNLUO2YO,SCMH3VS,11/24/2018 03:04:00 PM,11/24/2018,19,0,68.0,7.0,0,0,1
7721,VST,955,737,32,JH99AZXC,6TJ5I4R2RU,S9XA3EF,12/27/2016 05:41:52 PM,12/3/2018,17,12,353.0,75.0,1976,1976,0
7722,VST,955,737,32,JH99AZXC,6TJ5I4R2RU,SBK59PN,12/27/2016 05:41:53 PM,12/24/2018,17,12,365.0,75.0,2063,2063,0
7723,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SUSVUZY,1/6/2016 09:54:45 AM,4/27/2016,16,2,71.0,9.0,431,431,1
7724,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SHU403R,1/6/2016 09:54:44 AM,4/30/2016,16,2,71.0,9.0,443,443,1
7725,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SBF82M9,2/8/2016 10:27:01 AM,6/29/2016,16,2,78.0,11.0,514,514,1
7726,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,S365MT1,1/6/2016 09:54:42 AM,7/19/2016,16,4,117.0,17.0,715,715,1
7727,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SZ4NDD8,2/8/2016 10:27:01 AM,8/8/2016,16,2,102.0,14.0,644,644,1
7728,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SQ9ARRA,4/30/2016 05:15:26 PM,8/29/2016,16,2,64.0,11.0,373,373,1
7729,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SO8E9T0,4/30/2016 05:19:03 PM,9/4/2016,16,2,64.0,11.0,384,384,1
7730,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SI7FT3R,9/12/2016 05:25:23 PM,1/2/2017,16,0,31.0,12.0,215,215,1
7731,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SFSH8E9,6/25/2016 02:03:43 PM,1/2/2017,16,0,69.0,22.0,438,438,1
7732,VST,955,737,32,5GQJ9G9W,N0K0TWRGMM,SIK0ELP,4/27/2016 04:44:08 PM,1/2/2017,16,2,99.0,28.0,635,635,1
